truck_type,departure_date,from_city,to_city,capacity,distance_km,season,price,demand
Container trucks,2025-10-14,Coimbatore,Lucknow,40,1801.6,3,26751.36,1263.26
Trailer trucks,2025-10-05,Agra,Pune,50,1048.8,3,23776.7,1529.47
Heavy Commercial Vehicles,2023-04-07,Nanded,Kolhapur,30,422.9,1,12269.7,1459.43
Light Commercial Vehicles,2025-02-14,Vadodara,Jodhpur,10,435.78,0,5939.08,900.71
Light Commercial Vehicles,2024-05-24,Chennai,Bhopal,10,1166.21,1,11844.01,901.24
Trailer trucks,2024-04-07,Surat,Bhopal,50,525.96,1,19326.83,1691.23
Medium Commercial Vehicles,2023-01-22,Vijayawada,Vellore,20,429.4,0,9137.74,1145.65
Heavy Commercial Vehicles,2024-02-17,Mumbai,Jodhpur,30,793.36,0,14087.81,1098.4
Trailer trucks,2024-06-03,Gwalior,Bhopal,50,336.83,2,19239.38,1982.61
Light Commercial Vehicles,2023-03-26,Nashik,Bhopal,10,520.67,1,7055.85,1132.11
Heavy Commercial Vehicles,2025-06-14,Agra,Kolhapur,30,1222.78,2,20658.63,1391.57
Medium Commercial Vehicles,2025-06-25,Mangalore,Vellore,20,464.09,2,10234.77,1450.68
Container trucks,2023-04-22,Bangalore,Ludhiana,40,1993.32,1,28306.85,1269.19
Heavy Commercial Vehicles,2025-07-30,Jabalpur,Guwahati,30,1233.25,2,20742.5,1427.0
Light Commercial Vehicles,2024-06-14,Warangal,Delhi,10,1202.78,2,14097.25,1110.91
Trailer trucks,2023-03-31,Ludhiana,Udaipur,50,730.96,1,20450.92,1662.84
Medium Commercial Vehicles,2023-05-02,Kolhapur,Coimbatore,20,694.23,1,11592.59,1225.83
Trailer trucks,2023-11-21,Bhavnagar,Coimbatore,50,1295.0,3,25354.65,1597.29
Trailer trucks,2024-10-25,Bhavnagar,Bangalore,50,1131.7,3,24307.21,1548.3
Trailer trucks,2023-12-02,Kanpur,Ahmedabad,50,871.8,0,21242.35,1414.48
Light Commercial Vehicles,2023-04-12,Bilaspur,Jhansi,10,521.29,1,6856.0,1078.07
Light Commercial Vehicles,2023-07-29,Jaipur,Kolhapur,10,1141.44,2,13070.59,1184.12
Light Commercial Vehicles,2023-05-29,Solapur,Ranchi,10,1164.79,1,12512.28,987.69
Light Commercial Vehicles,2023-03-30,Patna,Warangal,10,1019.32,1,10714.25,939.34
Light Commercial Vehicles,2023-03-09,Thiruvananthapuram,Tiruchirappalli,10,317.0,1,5436.5,1218.71
Light Commercial Vehicles,2025-12-12,Vadodara,Vellore,10,1215.73,0,11891.12,899.05
Trailer trucks,2024-08-29,Mangalore,Nanded,50,737.5,2,22903.26,1854.87
Container trucks,2024-02-29,Patna,Bhavnagar,40,1390.01,0,22239.78,1321.23
Container trucks,2023-04-15,Solapur,Coimbatore,40,743.67,1,18119.09,1434.05
Trailer trucks,2025-06-15,Vadodara,Raipur,50,881.4,2,23836.86,1712.06
Heavy Commercial Vehicles,2023-03-01,Amritsar,Kozhikode,30,2258.11,1,27480.68,1088.94
Container trucks,2025-03-19,Rajkot,Jaipur,40,717.76,1,17765.58,1443.43
Light Commercial Vehicles,2023-10-06,Bhavnagar,Agra,10,843.43,3,9982.97,1038.51
Trailer trucks,2023-10-09,Surat,Nanded,50,520.47,3,18725.98,1747.23
Container trucks,2024-12-04,Patna,Meerut,40,825.79,0,17562.7,1237.75
Container trucks,2023-02-17,Hyderabad,Vadodara,40,778.13,0,17716.28,1248.02
Medium Commercial Vehicles,2023-01-05,Warangal,Nanded,20,272.14,0,7393.48,1070.73
Medium Commercial Vehicles,2023-05-10,Rajkot,Pune,20,526.34,1,9718.78,1294.48
Trailer trucks,2025-10-02,Ahmedabad,Mumbai,50,438.11,3,18766.49,1765.84
Heavy Commercial Vehicles,2025-07-09,Bilaspur,Jaipur,30,837.13,2,17174.28,1479.57
Trailer trucks,2024-11-12,Surat,Ranchi,50,1308.08,3,25178.03,1462.01
Light Commercial Vehicles,2023-12-13,Indore,Bangalore,10,1094.46,0,11069.31,833.44
Trailer trucks,2024-03-05,Vijayawada,Mumbai,50,871.45,1,21578.04,1679.43
Heavy Commercial Vehicles,2023-04-29,Nagpur,Tiruchirappalli,30,1146.66,1,18284.08,1312.93
Light Commercial Vehicles,2025-05-09,Nashik,Nanded,10,382.53,1,6363.19,1123.96
Light Commercial Vehicles,2025-03-29,Coimbatore,Dhanbad,10,1734.41,1,16393.36,895.89
Container trucks,2024-03-04,Madurai,Kolhapur,40,859.52,1,18667.24,1481.42
Trailer trucks,2023-10-04,Mumbai,Kolhapur,50,299.67,3,17443.52,1730.23
Trailer trucks,2023-08-17,Nagpur,Dhanbad,50,810.45,2,23996.26,1702.21
Trailer trucks,2024-07-02,Raipur,Ahmedabad,50,954.64,2,25383.44,1742.6
Heavy Commercial Vehicles,2023-04-12,Jodhpur,Ludhiana,30,586.18,1,14007.57,1460.08
Light Commercial Vehicles,2024-05-05,Meerut,Kolkata,10,1282.46,1,13631.58,852.85
Medium Commercial Vehicles,2025-11-05,Madurai,Visakhapatnam,20,1020.19,3,14124.29,1164.69
Light Commercial Vehicles,2023-10-19,Bhavnagar,Udaipur,10,350.89,3,5501.53,1187.02
Light Commercial Vehicles,2025-12-12,Guwahati,Bhopal,10,1483.34,0,13798.23,815.54
Medium Commercial Vehicles,2025-11-14,Pune,Kozhikode,20,829.68,3,12537.65,1278.46
Light Commercial Vehicles,2023-09-29,Solapur,Surat,10,505.24,3,6659.73,1064.81
Light Commercial Vehicles,2024-09-18,Rajkot,Kolkata,10,1807.04,3,17653.09,859.08
Heavy Commercial Vehicles,2025-03-26,Hyderabad,Jaipur,30,1091.01,1,18115.4,1354.71
Medium Commercial Vehicles,2025-02-25,Patna,Guwahati,20,664.1,0,10793.21,1085.07
Light Commercial Vehicles,2025-12-15,Surat,Thiruvananthapuram,10,1467.08,0,13827.98,805.05
Light Commercial Vehicles,2025-04-13,Hyderabad,Tiruchirappalli,10,730.0,1,8719.98,1038.21
Medium Commercial Vehicles,2023-07-24,Jaipur,Allahabad,20,627.34,2,11792.6,1322.95
Container trucks,2024-01-21,Kolhapur,Raipur,40,926.15,0,18636.14,1244.1
Medium Commercial Vehicles,2024-11-16,Jodhpur,Indore,20,484.16,3,10042.91,1344.7
Light Commercial Vehicles,2023-12-23,Vellore,Lucknow,10,1553.74,0,14849.55,689.93
Trailer trucks,2025-02-18,Lucknow,Hyderabad,50,1077.92,0,22554.95,1338.85
Medium Commercial Vehicles,2025-11-24,Guwahati,Mangalore,20,2293.93,3,24112.44,927.49
Medium Commercial Vehicles,2023-01-21,Hyderabad,Hubli,20,423.11,0,9267.95,1029.88
Medium Commercial Vehicles,2023-03-11,Kolhapur,Kanpur,20,1249.18,1,15993.74,1171.45
Heavy Commercial Vehicles,2023-09-17,Guwahati,Warangal,30,1543.88,3,21711.13,1104.5
Light Commercial Vehicles,2025-08-06,Bilaspur,Nagpur,10,332.55,2,6580.2,1195.12
Heavy Commercial Vehicles,2025-11-05,Surat,Dehradun,30,1139.32,3,17686.96,1306.25
Heavy Commercial Vehicles,2024-06-01,Vellore,Kozhikode,30,408.4,2,13184.45,1530.56
Container trucks,2023-07-19,Rajkot,Udaipur,40,390.21,2,16845.17,1742.27
Heavy Commercial Vehicles,2023-01-30,Raipur,Udaipur,30,891.9,0,15729.05,1251.89
Heavy Commercial Vehicles,2024-08-16,Jodhpur,Hyderabad,30,1131.01,2,20078.46,1352.79
Heavy Commercial Vehicles,2025-05-02,Madurai,Allahabad,30,1761.33,1,23181.86,1084.03
Trailer trucks,2025-10-21,Allahabad,Mangalore,50,1568.1,3,27964.09,1520.43
Medium Commercial Vehicles,2023-05-25,Amritsar,Vellore,20,2118.17,1,23182.34,999.3
Medium Commercial Vehicles,2024-11-20,Guwahati,Patna,20,664.1,3,11746.32,1168.4
Heavy Commercial Vehicles,2023-12-17,Dhanbad,Chennai,30,1351.98,0,18557.18,1041.94
Container trucks,2023-01-20,Allahabad,Bilaspur,40,372.92,0,14003.16,1501.11
Heavy Commercial Vehicles,2025-03-06,Coimbatore,Nashik,30,1050.08,1,17648.72,1255.16
Light Commercial Vehicles,2023-03-03,Hubli,Kanpur,10,1341.1,1,14198.07,942.37
Medium Commercial Vehicles,2025-03-21,Hyderabad,Meerut,20,1287.1,1,16622.03,1125.49
Medium Commercial Vehicles,2023-01-06,Pune,Meerut,20,1223.34,0,15138.68,983.08
Heavy Commercial Vehicles,2024-01-20,Bilaspur,Warangal,30,526.41,0,12051.35,1321.08
Light Commercial Vehicles,2024-06-17,Madurai,Delhi,10,2071.08,2,21389.04,1007.09
Container trucks,2025-08-27,Bilaspur,Nagpur,40,332.55,2,16456.33,1719.46
Container trucks,2025-04-01,Warangal,Kolhapur,40,585.91,1,16521.44,1564.22
Heavy Commercial Vehicles,2024-07-22,Jhansi,Hubli,30,1172.64,2,19980.33,1512.74
Trailer trucks,2023-12-11,Warangal,Patna,50,1019.32,0,21549.29,1462.96
Container trucks,2024-02-17,Visakhapatnam,Warangal,40,385.55,0,14039.53,1366.07
Heavy Commercial Vehicles,2023-03-20,Mangalore,Mumbai,30,713.96,1,15072.0,1437.95
Heavy Commercial Vehicles,2025-04-03,Bangalore,Raipur,30,1011.76,1,17409.64,1316.4
Light Commercial Vehicles,2024-07-24,Patna,Jodhpur,10,1215.27,2,13798.6,1045.01
Container trucks,2024-02-18,Solapur,Gwalior,40,976.34,0,18642.25,1248.8
Container trucks,2023-03-30,Bilaspur,Rajkot,40,1169.27,1,20893.78,1434.11
Heavy Commercial Vehicles,2025-12-03,Udaipur,Kanpur,30,696.61,0,14037.98,1115.11
